"Figure 3 Annual UK admissions, 1935-2020"	
Year	Admissions (million)
1935	912.3
1936	917
1937	946
1938	987
1939	990
1940	"1,027.00"
1941	"1,309.00"
1942	"1,494.00"
1943	"1,541.00"
1944	"1,575.00"
1945	"1,585.00"
1946	"1,635.00"
1947	"1,462.00"
1948	"1,514.00"
1949	"1,430.00"
1950	"1,395.80"
1951	"1,365.00"
1952	"1,312.10"
1953	"1,284.50"
1954	"1,275.80"
1955	"1,181.80"
1956	"1,100.80"
1957	915.2
1958	754.7
1959	581
1960	500.8
1961	449.1
1962	395
1963	357.2
1964	342.8
1965	326.6
1966	288.8
1967	264.8
1968	237.3
1969	214.9
1970	193
1971	176
1972	156.6
1973	134.2
1974	138.5
1975	116.3
1976	103.9
1977	103.5
1978	126.1
1979	111.9
1980	101
1981	86
1982	64
1983	65.7
1984	54
1985	72
1986	75.5
1987	78.5
1988	84
1989	94.5
1990	97.4
1991	100.3
1992	103.6
1993	114.4
1994	123.5
1995	114.6
1996	123.5
1997	138.9
1998	135.2
1999	139.1
2000	142.5
2001	155.9
2002	175.9
2003	167.3
2004	171.3
2005	164.7
2006	156.6
2007	162.4
2008	164.2
2009	173.5
2010	169.2
2011	171.6
2012	172.5
2013	165.5
2014	157.5
2015	171.9
2016	168.3
2017	170.6
2018	177
2019	176.1
2020	44
"Source: BFI, CAA, comScore"	
